Culture,k,n_total,n_honest,n_manip,trials,Target,Rule,Change_Rate,Avg_Overlap,Success_Rate
2D Euclidean,3,100,80,20,2000,Cutoff,k-Median Rule,88.4,0.6746666666666715,88.4
2D Euclidean,3,100,80,20,2000,Cutoff,k-Median-Shapley,71.5,0.750666666666676,69.19999999999999
2D Euclidean,3,100,80,20,2000,Bottom,Evaluative Voting,99.75,0.6675000000000059,99.75
2D Euclidean,3,100,80,20,2000,Bottom,k-Median Rule,85.75,0.6601666666666686,73.6
2D Euclidean,3,100,80,20,2000,Bottom,k-Median-Shapley,58.199999999999996,0.7871666666666741,42.449999999999996
2D Euclidean,4,100,80,20,2000,Cutoff,Evaluative Voting,99.95,0.750125,99.95
2D Euclidean,4,100,80,20,2000,Cutoff,k-Median Rule,86.8,0.783,86.8
2D Euclidean,4,100,80,20,2000,Cutoff,k-Median-Shapley,68.0,0.83,68.0
2D Euclidean,4,100,80,20,2000,Bottom,Evaluative Voting,99.95,0.750125,99.95
2D Euclidean,4,100,80,20,2000,Bottom,k-Median Rule,86.8,0.783,86.8
2D Euclidean,4,100,80,20,2000,Bottom,k-Median-Shapley,68.0,0.83,68.0
Impartial Anonymous Culture (IAC),1,100,80,20,2000,Cutoff,Evaluative Voting,96.5,0.035,96.5
Impartial Anonymous Culture (IAC),1,100,80,20,2000,Cutoff,k-Median Rule,67.5,0.325,67.5
Impartial Anonymous Culture (IAC),1,100,80,20,2000,Cutoff,k-Median-Shapley,51.24999999999999,0.4875,50.849999999999994
Impartial Anonymous Culture (IAC),1,100,80,20,2000,Bottom,Evaluative Voting,29.7,0.703,29.7
Impartial Anonymous Culture (IAC),1,100,80,20,2000,Bottom,k-Median Rule,42.9,0.571,15.2
Impartial Anonymous Culture (IAC),1,100,80,20,2000,Bottom,k-Median-Shapley,22.25,0.7775,2.75
Impartial Anonymous Culture (IAC),2,100,80,20,2000,Cutoff,Evaluative Voting,99.1,0.5045,99.1
Impartial Anonymous Culture (IAC),2,100,80,20,2000,Cutoff,k-Median Rule,80.85,0.5715,80.85
Impartial Anonymous Culture (IAC),2,100,80,20,2000,Cutoff,k-Median-Shapley,68.95,0.6505,68.10000000000001
Impartial Anonymous Culture (IAC),2,100,80,20,2000,Bottom,Evaluative Voting,64.05,0.67975,64.05
Impartial Anonymous Culture (IAC),2,100,80,20,2000,Bottom,k-Median Rule,63.24999999999999,0.65125,36.55
Impartial Anonymous Culture (IAC),2,100,80,20,2000,Bottom,k-Median-Shapley,37.0,0.80875,15.1
Impartial Anonymous Culture (IAC),3,100,80,20,2000,Cutoff,Evaluative Voting,98.75,0.6708333333333396,98.75
Impartial Anonymous Culture (IAC),3,100,80,20,2000,Cutoff,k-Median Rule,83.05,0.7088333333333405,83.05
Impartial Anonymous Culture (IAC),3,100,80,20,2000,Cutoff,k-Median-Shapley,72.7,0.7553333333333432,72.39999999999999
Impartial Anonymous Culture (IAC),3,100,80,20,2000,Bottom,Evaluative Voting,86.9,0.7103333333333426,86.9
Impartial Anonymous Culture (IAC),3,100,80,20,2000,Bottom,k-Median Rule,72.2,0.7273333333333402,56.00000000000001
Impartial Anonymous Culture (IAC),3,100,80,20,2000,Bottom,k-Median-Shapley,48.0,0.8320000000000098,34.0
Impartial Anonymous Culture (IAC),4,100,80,20,2000,Cutoff,Evaluative Voting,96.7,0.75825,96.7
Impartial Anonymous Culture (IAC),4,100,80,20,2000,Cutoff,k-Median Rule,78.2,0.8045,78.2
