Culture,k,n_total,n_honest,n_manip,manip_pct,trials,Target,Rule,Change_Rate,Success_Rate,Avg_Overlap
Mallows (phi=0.7),4,100,97,3,3,1000,Cutoff,Evaluative Voting,13.100000000000001,13.100000000000001,0.96725
Mallows (phi=0.7),4,100,97,3,3,1000,Cutoff,k-Median Rule,1.6,1.6,0.996
Mallows (phi=0.7),4,100,97,3,3,1000,Cutoff,k-Median-Shapley,3.4000000000000004,3.4000000000000004,0.9915
Mallows (phi=0.7),4,100,97,3,3,1000,Bottom,Evaluative Voting,13.100000000000001,13.100000000000001,0.96725
Mallows (phi=0.7),4,100,97,3,3,1000,Bottom,k-Median Rule,1.6,1.6,0.996
Mallows (phi=0.7),4,100,97,3,3,1000,Bottom,k-Median-Shapley,3.4000000000000004,3.4000000000000004,0.9915
Mallows (phi=0.7),2,100,96,4,4,1000,Cutoff,Evaluative Voting,21.6,21.6,0.892
Mallows (phi=0.7),2,100,96,4,4,1000,Cutoff,k-Median Rule,1.2,1.2,0.994
Mallows (phi=0.7),2,100,96,4,4,1000,Cutoff,k-Median-Shapley,5.1,5.0,0.9745
Mallows (phi=0.7),2,100,96,4,4,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),2,100,96,4,4,1000,Bottom,k-Median Rule,0.2,0.0,0.999
Mallows (phi=0.7),2,100,96,4,4,1000,Bottom,k-Median-Shapley,4.5,0.0,0.9775
Mallows (phi=0.7),3,100,96,4,4,1000,Cutoff,Evaluative Voting,22.5,22.5,0.9249999999999965
Mallows (phi=0.7),3,100,96,4,4,1000,Cutoff,k-Median Rule,3.4000000000000004,3.4000000000000004,0.988666666666666
Mallows (phi=0.7),3,100,96,4,4,1000,Cutoff,k-Median-Shapley,7.6,7.6,0.9746666666666652
Mallows (phi=0.7),3,100,96,4,4,1000,Bottom,Evaluative Voting,0.4,0.4,0.9986666666666666
Mallows (phi=0.7),3,100,96,4,4,1000,Bottom,k-Median Rule,2.0,0.5,0.9933333333333331
Mallows (phi=0.7),3,100,96,4,4,1000,Bottom,k-Median-Shapley,3.9,0.2,0.9869999999999993
Mallows (phi=0.7),4,100,96,4,4,1000,Cutoff,Evaluative Voting,18.8,18.8,0.953
Mallows (phi=0.7),4,100,96,4,4,1000,Cutoff,k-Median Rule,2.5,2.5,0.99375
Mallows (phi=0.7),4,100,96,4,4,1000,Cutoff,k-Median-Shapley,3.6999999999999997,3.6999999999999997,0.99075
Mallows (phi=0.7),4,100,96,4,4,1000,Bottom,Evaluative Voting,18.8,18.8,0.953
Mallows (phi=0.7),4,100,96,4,4,1000,Bottom,k-Median Rule,2.5,2.5,0.99375
Mallows (phi=0.7),4,100,96,4,4,1000,Bottom,k-Median-Shapley,3.6999999999999997,3.6999999999999997,0.99075
Mallows (phi=0.7),2,100,95,5,5,1000,Cutoff,Evaluative Voting,29.9,29.9,0.8505
Mallows (phi=0.7),2,100,95,5,5,1000,Cutoff,k-Median Rule,2.0,2.0,0.99
Mallows (phi=0.7),2,100,95,5,5,1000,Cutoff,k-Median-Shapley,6.7,6.6000000000000005,0.9665
Mallows (phi=0.7),2,100,95,5,5,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),2,100,95,5,5,1000,Bottom,k-Median Rule,0.7000000000000001,0.0,0.9965
Mallows (phi=0.7),2,100,95,5,5,1000,Bottom,k-Median-Shapley,5.6000000000000005,0.0,0.972
Mallows (phi=0.7),3,100,95,5,5,1000,Cutoff,Evaluative Voting,29.4,29.4,0.901999999999996
Mallows (phi=0.7),3,100,95,5,5,1000,Cutoff,k-Median Rule,5.1,5.1,0.9829999999999991
Mallows (phi=0.7),3,100,95,5,5,1000,Cutoff,k-Median-Shapley,9.5,9.5,0.9683333333333318
Mallows (phi=0.7),3,100,95,5,5,1000,Bottom,Evaluative Voting,0.8999999999999999,0.8999999999999999,0.9969999999999999
Mallows (phi=0.7),3,100,95,5,5,1000,Bottom,k-Median Rule,2.6,0.6,0.9913333333333331
Mallows (phi=0.7),3,100,95,5,5,1000,Bottom,k-Median-Shapley,4.7,0.3,0.9843333333333325
Mallows (phi=0.7),4,100,95,5,5,1000,Cutoff,Evaluative Voting,25.900000000000002,25.900000000000002,0.93525
Mallows (phi=0.7),4,100,95,5,5,1000,Cutoff,k-Median Rule,3.5999999999999996,3.5999999999999996,0.991
Mallows (phi=0.7),4,100,95,5,5,1000,Cutoff,k-Median-Shapley,5.3,5.3,0.98675
Mallows (phi=0.7),4,100,95,5,5,1000,Bottom,Evaluative Voting,25.900000000000002,25.900000000000002,0.93525
Mallows (phi=0.7),4,100,95,5,5,1000,Bottom,k-Median Rule,3.5999999999999996,3.5999999999999996,0.991
Mallows (phi=0.7),4,100,95,5,5,1000,Bottom,k-Median-Shapley,5.3,5.3,0.98675
Mallows (phi=0.7),2,100,94,6,6,1000,Cutoff,Evaluative Voting,38.9,38.9,0.8055
Mallows (phi=0.7),2,100,94,6,6,1000,Cutoff,k-Median Rule,3.5000000000000004,3.5000000000000004,0.9825
Mallows (phi=0.7),2,100,94,6,6,1000,Cutoff,k-Median-Shapley,7.9,7.9,0.9605
Mallows (phi=0.7),2,100,94,6,6,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),2,100,94,6,6,1000,Bottom,k-Median Rule,0.4,0.0,0.998
Mallows (phi=0.7),2,100,94,6,6,1000,Bottom,k-Median-Shapley,6.5,0.0,0.9675
Mallows (phi=0.7),3,100,94,6,6,1000,Cutoff,Evaluative Voting,37.4,37.4,0.8753333333333283
Mallows (phi=0.7),3,100,94,6,6,1000,Cutoff,k-Median Rule,6.2,6.2,0.9793333333333325
Mallows (phi=0.7),3,100,94,6,6,1000,Cutoff,k-Median-Shapley,11.700000000000001,11.700000000000001,0.9609999999999982
