Culture,k,n_total,n_honest,n_manip,trials,Target,Rule,Change_Rate,Avg_Overlap,Success_Rate
Impartial Anonymous Culture (IAC),3,100,80,20,2000,Cutoff,Evaluative Voting,98.75,0.6708333333333395,98.75
Impartial Anonymous Culture (IAC),3,100,80,20,2000,Cutoff,k-Median Rule,81.75,0.714166666666674,81.75
Impartial Anonymous Culture (IAC),3,100,80,20,2000,Cutoff,k-Median-Shapley,71.45,0.7600000000000102,71.05
Impartial Anonymous Culture (IAC),3,100,80,20,2000,Bottom,Evaluative Voting,84.75,0.7175000000000106,84.75
Impartial Anonymous Culture (IAC),3,100,80,20,2000,Bottom,k-Median Rule,71.3,0.7345000000000064,55.00000000000001
Impartial Anonymous Culture (IAC),3,100,80,20,2000,Bottom,k-Median-Shapley,47.05,0.8366666666666749,34.0
Impartial Anonymous Culture (IAC),4,100,80,20,2000,Cutoff,Evaluative Voting,96.89999999999999,0.75775,96.89999999999999
Impartial Anonymous Culture (IAC),4,100,80,20,2000,Cutoff,k-Median Rule,79.7,0.80075,79.7
Impartial Anonymous Culture (IAC),4,100,80,20,2000,Cutoff,k-Median-Shapley,65.2,0.837,65.2
Impartial Anonymous Culture (IAC),4,100,80,20,2000,Bottom,Evaluative Voting,96.89999999999999,0.75775,96.89999999999999
Impartial Anonymous Culture (IAC),4,100,80,20,2000,Bottom,k-Median Rule,79.7,0.80075,79.7
Impartial Anonymous Culture (IAC),4,100,80,20,2000,Bottom,k-Median-Shapley,65.2,0.837,65.2
Polya Urn (alpha=0.2),2,100,80,20,2000,Cutoff,Evaluative Voting,98.05,0.50975,98.05
Polya Urn (alpha=0.2),2,100,80,20,2000,Cutoff,k-Median Rule,76.3,0.59625,76.3
Polya Urn (alpha=0.2),2,100,80,20,2000,Cutoff,k-Median-Shapley,62.8,0.6685,57.05
Polya Urn (alpha=0.2),2,100,80,20,2000,Bottom,Evaluative Voting,55.35,0.72325,55.35
Polya Urn (alpha=0.2),2,100,80,20,2000,Bottom,k-Median Rule,63.6,0.64975,37.2
Polya Urn (alpha=0.2),2,100,80,20,2000,Bottom,k-Median-Shapley,46.550000000000004,0.74625,17.849999999999998
Polya Urn (alpha=0.2),3,100,80,20,2000,Cutoff,Evaluative Voting,97.65,0.6745000000000062,97.65
Polya Urn (alpha=0.2),3,100,80,20,2000,Cutoff,k-Median Rule,80.25,0.7140000000000073,80.25
Polya Urn (alpha=0.2),3,100,80,20,2000,Cutoff,k-Median-Shapley,69.6,0.7528333333333421,65.7
Polya Urn (alpha=0.2),3,100,80,20,2000,Bottom,Evaluative Voting,80.15,0.732833333333343,80.15
Polya Urn (alpha=0.2),3,100,80,20,2000,Bottom,k-Median Rule,71.05,0.7305000000000059,54.6
Polya Urn (alpha=0.2),3,100,80,20,2000,Bottom,k-Median-Shapley,57.45,0.7886666666666748,38.35
Polya Urn (alpha=0.2),4,100,80,20,2000,Cutoff,Evaluative Voting,94.85,0.762875,94.85
Polya Urn (alpha=0.2),4,100,80,20,2000,Cutoff,k-Median Rule,77.35,0.806625,77.35
Polya Urn (alpha=0.2),4,100,80,20,2000,Cutoff,k-Median-Shapley,64.64999999999999,0.838375,64.64999999999999
Polya Urn (alpha=0.2),4,100,80,20,2000,Bottom,Evaluative Voting,94.85,0.762875,94.85
Polya Urn (alpha=0.2),4,100,80,20,2000,Bottom,k-Median Rule,77.35,0.806625,77.35
Polya Urn (alpha=0.2),4,100,80,20,2000,Bottom,k-Median-Shapley,64.64999999999999,0.838375,64.64999999999999
Impartial Culture (IC),2,100,80,20,2000,Cutoff,Evaluative Voting,100.0,0.5,100.0
Impartial Culture (IC),2,100,80,20,2000,Cutoff,k-Median Rule,99.7,0.4045,99.7
Impartial Culture (IC),2,100,80,20,2000,Cutoff,k-Median-Shapley,98.55000000000001,0.461,98.35000000000001
Impartial Culture (IC),2,100,80,20,2000,Bottom,Evaluative Voting,100.0,0.5,100.0
Impartial Culture (IC),2,100,80,20,2000,Bottom,k-Median Rule,99.05000000000001,0.38275,97.55
Impartial Culture (IC),2,100,80,20,2000,Bottom,k-Median-Shapley,93.10000000000001,0.4535,87.25
Impartial Culture (IC),3,100,80,20,2000,Cutoff,Evaluative Voting,100.0,0.6666666666666725,100.0
Impartial Culture (IC),3,100,80,20,2000,Cutoff,k-Median Rule,99.35000000000001,0.6144999999999992,99.35000000000001
Impartial Culture (IC),3,100,80,20,2000,Cutoff,k-Median-Shapley,99.15,0.6388333333333354,99.15
Impartial Culture (IC),3,100,80,20,2000,Bottom,Evaluative Voting,100.0,0.6666666666666725,100.0
Impartial Culture (IC),3,100,80,20,2000,Bottom,k-Median Rule,99.05000000000001,0.5823333333333304,98.1
Impartial Culture (IC),3,100,80,20,2000,Bottom,k-Median-Shapley,96.95,0.6156666666666668,95.25
Impartial Culture (IC),4,100,80,20,2000,Cutoff,Evaluative Voting,100.0,0.75,100.0
Impartial Culture (IC),4,100,80,20,2000,Cutoff,k-Median Rule,99.45,0.751375,99.45
Impartial Culture (IC),4,100,80,20,2000,Cutoff,k-Median-Shapley,98.75,0.753125,98.75
Impartial Culture (IC),4,100,80,20,2000,Bottom,Evaluative Voting,100.0,0.75,100.0
Impartial Culture (IC),4,100,80,20,2000,Bottom,k-Median Rule,99.45,0.751375,99.45
Impartial Culture (IC),4,100,80,20,2000,Bottom,k-Median-Shapley,98.75,0.753125,98.75
