Culture,k,n_total,n_honest,n_manip,manip_pct,trials,Target,Rule,Change_Rate,Success_Rate,Avg_Overlap
Mallows (phi=0.7),2,100,99,1,1,200,Cutoff,Evaluative Voting,10.5,10.5,0.9475
Mallows (phi=0.7),2,100,99,1,1,200,Cutoff,k-Median Rule,0.0,0.0,1.0
Mallows (phi=0.7),2,100,99,1,1,200,Cutoff,k-Median-Shapley,2.0,2.0,0.99
Mallows (phi=0.7),2,100,99,1,1,200,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),2,100,99,1,1,200,Bottom,k-Median Rule,0.0,0.0,1.0
Mallows (phi=0.7),2,100,99,1,1,200,Bottom,k-Median-Shapley,2.0,0.0,0.99
Mallows (phi=0.7),3,100,99,1,1,200,Cutoff,Evaluative Voting,8.0,8.0,0.9733333333333332
Mallows (phi=0.7),3,100,99,1,1,200,Cutoff,k-Median Rule,0.5,0.5,0.9983333333333334
Mallows (phi=0.7),3,100,99,1,1,200,Cutoff,k-Median-Shapley,4.0,4.0,0.9866666666666666
Mallows (phi=0.7),3,100,99,1,1,200,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),3,100,99,1,1,200,Bottom,k-Median Rule,0.5,0.0,0.9983333333333334
Mallows (phi=0.7),3,100,99,1,1,200,Bottom,k-Median-Shapley,3.5000000000000004,0.0,0.9883333333333333
Mallows (phi=0.7),4,100,99,1,1,200,Cutoff,Evaluative Voting,9.0,9.0,0.9775
Mallows (phi=0.7),4,100,99,1,1,200,Cutoff,k-Median Rule,1.0,1.0,0.9975
Mallows (phi=0.7),4,100,99,1,1,200,Cutoff,k-Median-Shapley,3.0,3.0,0.9925
Mallows (phi=0.7),4,100,99,1,1,200,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),4,100,99,1,1,200,Bottom,k-Median Rule,1.0,0.0,0.9975
Mallows (phi=0.7),4,100,99,1,1,200,Bottom,k-Median-Shapley,3.0,0.0,0.9925
Mallows (phi=0.7),5,100,99,1,1,200,Cutoff,Evaluative Voting,7.000000000000001,7.000000000000001,0.9860000000000002
Mallows (phi=0.7),5,100,99,1,1,200,Cutoff,k-Median Rule,0.0,0.0,1.0
Mallows (phi=0.7),5,100,99,1,1,200,Cutoff,k-Median-Shapley,0.0,0.0,1.0
Mallows (phi=0.7),5,100,99,1,1,200,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),5,100,99,1,1,200,Bottom,k-Median Rule,0.0,0.0,1.0
Mallows (phi=0.7),5,100,99,1,1,200,Bottom,k-Median-Shapley,0.0,0.0,1.0
Mallows (phi=0.7),6,100,99,1,1,200,Cutoff,Evaluative Voting,5.0,5.0,0.9916666666666668
Mallows (phi=0.7),6,100,99,1,1,200,Cutoff,k-Median Rule,1.0,1.0,0.9983333333333334
Mallows (phi=0.7),6,100,99,1,1,200,Cutoff,k-Median-Shapley,2.5,2.5,0.9958333333333335
Mallows (phi=0.7),6,100,99,1,1,200,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),6,100,99,1,1,200,Bottom,k-Median Rule,1.0,0.0,0.9983333333333334
