k,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2,Evaluative Voting,0.07,0.82,2.68,5.2,8.65,12.12,16.0,19.42,22.53,26.03,29.35,32.8,36.58,40.08,43.88,47.78,52.28,56.75,61.3,66.1,70.87,74.83,79.28,82.85,85.78,88.33,90.0,91.75,93.23,94.47,95.73,96.87,97.48,98.2,98.67,99.12,99.42,99.67,99.87,99.93,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,k-Median Rule,8.53,10.17,16.8,18.7,25.2,26.95,31.37,33.32,36.87,38.8,42.55,43.83,46.85,48.2,50.92,52.45,54.52,55.73,57.52,59.03,61.03,62.38,65.05,66.47,69.05,71.73,74.05,76.13,78.87,81.73,84.25,87.13,89.25,91.08,92.82,94.28,95.42,96.37,97.27,97.87,98.55,99.02,99.3,99.47,99.63,99.87,99.92,99.98,100.0
2,k-Median-Shapley,11.95,13.48,18.65,19.3,23.58,24.07,26.57,27.85,29.87,30.72,32.45,33.08,34.43,35.08,36.95,37.73,39.42,39.8,40.93,41.9,43.13,44.58,45.9,46.75,48.18,49.68,51.47,52.68,54.47,56.37,59.03,60.77,63.13,65.48,68.12,70.82,74.27,76.65,80.12,84.15,87.52,90.28,92.88,94.63,95.88,97.6,98.47,99.17,99.73
3,Evaluative Voting,1.12,4.38,9.12,14.57,19.42,24.72,29.77,34.63,39.48,44.0,48.63,53.18,58.3,63.12,67.83,72.15,76.23,79.53,82.77,85.6,88.12,89.93,91.48,92.77,94.22,95.07,96.07,96.75,97.47,98.18,98.58,98.87,99.13,99.35,99.5,99.72,99.88,99.93,99.97,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3,k-Median Rule,8.47,11.58,19.07,21.98,27.72,30.13,34.82,37.78,41.4,44.15,48.12,50.0,53.3,55.72,58.87,61.08,64.12,66.68,69.37,71.9,74.37,76.7,79.58,81.92,84.77,87.17,88.95,90.4,91.65,92.82,93.73,94.6,95.42,96.1,96.75,97.23,97.68,98.12,98.62,98.95,99.22,99.45,99.6,99.77,99.87,99.95,99.95,99.98,100.0
3,k-Median-Shapley,11.4,12.75,19.4,20.23,23.93,24.65,28.2,29.68,31.93,33.18,35.9,37.73,39.1,40.5,42.13,43.87,45.18,46.97,48.87,49.5,51.28,52.38,53.98,55.83,57.42,58.83,60.17,61.52,63.32,65.05,67.67,70.05,73.13,76.3,79.52,82.17,84.77,87.27,89.52,90.92,92.88,94.58,95.78,96.92,97.88,98.62,99.27,99.65,99.87
4,Evaluative Voting,11.62,22.07,31.05,38.6,45.85,52.45,57.97,63.8,68.67,73.08,77.0,80.83,83.5,86.23,88.67,90.43,91.92,93.18,94.05,95.0,95.87,96.58,97.23,97.72,98.15,98.45,98.83,99.15,99.33,99.57,99.62,99.7,99.78,99.87,99.93,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4,k-Median Rule,4.95,10.32,15.7,20.75,25.35,29.33,33.68,37.9,42.08,46.18,49.72,53.2,56.75,60.07,63.42,66.53,69.55,72.4,75.07,77.83,80.25,82.65,84.78,86.65,88.92,90.75,92.25,93.72,94.7,95.6,96.17,96.92,97.43,98.08,98.42,98.72,98.92,99.18,99.33,99.52,99.62,99.72,99.82,99.93,99.98,100.0,100.0,100.0,100.0
4,k-Median-Shapley,9.03,11.82,17.23,19.38,23.07,25.38,28.92,31.2,33.73,36.02,38.77,41.9,44.67,46.9,49.32,52.08,55.15,57.03,59.9,62.2,64.57,67.7,69.57,71.7,73.35,74.95,77.3,78.48,80.07,81.7,83.57,85.53,87.57,89.32,91.23,92.77,93.98,94.95,95.7,96.4,96.88,97.65,98.27,98.75,99.08,99.4,99.62,99.78,99.92
