k,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2,Evaluative Voting,16.2,28.72,39.23,48.53,56.1,62.67,68.4,73.8,78.45,82.82,86.28,89.32,91.6,93.43,95.28,96.48,97.32,98.13,98.7,99.12,99.42,99.68,99.77,99.83,99.92,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,k-Median Rule,8.73,11.7,18.93,22.37,29.13,32.22,37.82,40.35,45.17,47.7,52.15,54.45,58.62,60.7,64.3,66.67,70.22,72.72,76.05,78.42,81.3,83.67,86.8,88.47,90.68,92.28,93.8,94.73,95.77,96.83,97.42,98.05,98.58,98.92,99.23,99.47,99.63,99.73,99.87,99.92,99.95,99.97,99.97,99.98,100.0,100.0,100.0,100.0,100.0
2,k-Median-Shapley,13.27,16.05,22.32,24.3,29.32,31.02,34.83,36.82,39.6,42.08,44.7,45.9,48.3,50.83,53.6,55.97,58.18,60.57,62.98,65.55,68.0,70.5,73.0,75.63,78.3,80.13,82.03,84.17,85.72,86.93,88.02,89.05,90.22,91.68,93.18,94.43,95.52,96.4,97.13,97.93,98.58,99.02,99.33,99.4,99.6,99.77,99.88,99.9,99.97
3,Evaluative Voting,15.85,29.33,40.27,48.73,55.27,61.5,67.92,73.47,77.78,81.98,85.85,88.75,91.18,93.1,94.75,95.92,96.87,97.58,98.15,98.57,98.97,99.18,99.45,99.6,99.68,99.8,99.92,99.93,99.93,99.97,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3,k-Median Rule,8.58,13.48,20.78,25.22,31.32,34.85,40.27,43.77,48.5,51.63,55.72,58.73,62.88,65.45,69.28,71.75,75.15,78.02,81.12,83.45,85.93,87.95,90.03,91.9,93.68,94.95,96.08,96.95,97.63,98.2,98.65,98.95,99.32,99.48,99.62,99.63,99.73,99.78,99.85,99.87,99.92,99.97,99.97,99.98,99.98,100.0,100.0,100.0,100.0
3,k-Median-Shapley,12.55,15.52,22.8,25.65,30.9,33.0,36.75,39.7,43.2,45.62,48.68,50.82,53.03,55.33,57.8,59.67,61.43,63.65,65.13,66.53,67.8,69.45,71.18,73.0,75.38,77.2,79.38,81.92,84.13,85.92,88.15,89.57,91.23,92.8,93.97,94.95,95.75,96.32,97.2,97.73,98.47,98.95,99.22,99.42,99.65,99.8,99.92,99.92,99.98
4,Evaluative Voting,11.62,22.07,31.05,38.6,45.85,52.45,57.97,63.8,68.67,73.08,77.0,80.83,83.5,86.23,88.67,90.43,91.92,93.18,94.05,95.0,95.87,96.58,97.23,97.72,98.15,98.45,98.83,99.15,99.33,99.57,99.62,99.7,99.78,99.87,99.93,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4,k-Median Rule,4.95,10.32,15.7,20.75,25.35,29.33,33.68,37.9,42.08,46.18,49.72,53.2,56.75,60.07,63.42,66.53,69.55,72.4,75.07,77.83,80.25,82.65,84.78,86.65,88.92,90.75,92.25,93.72,94.7,95.6,96.17,96.92,97.43,98.08,98.42,98.72,98.92,99.18,99.33,99.52,99.62,99.72,99.82,99.93,99.98,100.0,100.0,100.0,100.0
4,k-Median-Shapley,9.03,11.82,17.23,19.38,23.07,25.38,28.92,31.2,33.73,36.02,38.77,41.9,44.67,46.9,49.32,52.08,55.15,57.03,59.9,62.2,64.57,67.7,69.57,71.7,73.35,74.95,77.3,78.48,80.07,81.7,83.57,85.53,87.57,89.32,91.23,92.77,93.98,94.95,95.7,96.4,96.88,97.65,98.27,98.75,99.08,99.4,99.62,99.78,99.92
